OrderID,CustomerName,PhoneNumber,Location,Country,StoreCode,Product,Quantity,Price,Date,CreditCardNumber,ExpiryDate,Sales,MaskedCreditCardNumber,SalesCategory,AverageOrderValue
ZDTXIP,Robert Johnson,+1 262-473-3829,Chicago,Australia,ST048,Tablet,4,165.96,1970-01-01,5676 8888 7887 9528,Jul-25,663.84,xxxx-xxxx-xxxx- 952,Medium,165.96
WWVNGW,Alice Smith,+1 222-849-4865,Houston,Canada,ST146,Headphones,9,197.33,1970-01-01,5676 8888 7887 8289,Sep-23,1775.97,xxxx-xxxx-xxxx- 828,Medium,197.33
MSKKXE,John Doe,+1 720-609-7161,Los Angeles,Australia,ST125,Laptop,8,492.92,1970-01-01,5676 8888 7887 6899,Mar-27,3943.36,xxxx-xxxx-xxxx- 689,High,492.92
GAKJUC,Robert Johnson,+1 919-905-3000,New York,Australia,ST058,Headphones,4,222.6,1970-01-01,5676 8888 7887 8334,Dec-26,890.4,xxxx-xxxx-xxxx- 833,Medium,222.6
QYONER,Alice Smith,+1 616-442-7498,Houston,Australia,ST163,Headphones,7,183.31,1970-01-01,5676 8888 7887 6476,Nov-30,1283.17,xxxx-xxxx-xxxx- 647,Medium,183.31
MSYOAB,Alice Smith,+1 808-500-6927,Houston,Australia,ST155,Tablet,6,792.15,1970-01-01,5676 8888 7887 1946,Oct-30,4752.9,xxxx-xxxx-xxxx- 194,High,792.15
LSMOVN,Alice Smith,+1 530-773-2631,New York,Australia,ST192,Phone,8,595.55,1970-01-01,5676 8888 7887 9226,Jan-27,4764.4,xxxx-xxxx-xxxx- 922,High,595.55
WVHPTU,Robert Johnson,+1 283-449-6510,Chicago,UK,ST157,Headphones,8,637.8,1970-01-01,5676 8888 7887 7237,May-23,5102.4,xxxx-xxxx-xxxx- 723,High,637.8
MXLPTM,Alice Smith,+1 289-951-6678,Los Angeles,Canada,ST060,Laptop,8,227.97,1970-01-01,5676 8888 7887 7537,Oct-24,1823.76,xxxx-xxxx-xxxx- 753,Medium,227.97
BCVKQK,Robert Johnson,+1 789-538-1005,Los Angeles,Australia,ST075,Tablet,10,278.69,1970-01-01,5676 8888 7887 5727,Nov-27,2786.9,xxxx-xxxx-xxxx- 572,High,278.69
JZSJXC,Robert Johnson,+1 476-411-5876,New York,Australia,ST168,Tablet,7,928.85,1970-01-01,5676 8888 7887 4496,Nov-30,6501.95,xxxx-xxxx-xxxx- 449,High,928.85
ETSOIO,John Doe,+1 601-564-1871,New York,USA,ST157,Laptop,10,245.64,1970-01-01,5676 8888 7887 3288,Mar-30,2456.3999999999996,xxxx-xxxx-xxxx- 328,High,245.63999999999996
KHWZMV,Alice Smith,+1 724-452-9712,Chicago,USA,ST037,Laptop,4,839.47,1970-01-01,5676 8888 7887 6911,Dec-25,3357.88,xxxx-xxxx-xxxx- 691,High,839.47
SVWHJS,Robert Johnson,+1 603-187-4497,Houston,USA,ST132,Phone,6,888.01,1970-01-01,5676 8888 7887 3880,May-29,5328.0599999999995,xxxx-xxxx-xxxx- 388,High,888.0099999999999
PILEFL,Alice Smith,+1 637-159-1129,Chicago,Canada,ST071,Tablet,2,952.15,1970-01-01,5676 8888 7887 4548,Nov-23,1904.3,xxxx-xxxx-xxxx- 454,Medium,952.15
CRQPDQ,Alice Smith,+1 482-131-6898,Los Angeles,Canada,ST124,Laptop,8,257.12,1970-01-01,5676 8888 7887 9253,Feb-29,2056.96,xxxx-xxxx-xxxx- 925,High,257.12
RNVXMF,Alice Smith,+1 303-933-1843,New York,UK,ST156,Laptop,8,188.34,1970-01-01,5676 8888 7887 7586,Sep-30,1506.72,xxxx-xxxx-xxxx- 758,Medium,188.34
YIIKFN,Alice Smith,+1 877-122-3822,Los Angeles,UK,ST034,Laptop,8,575.05,1970-01-01,5676 8888 7887 8096,Apr-27,4600.4,xxxx-xxxx-xxxx- 809,High,575.05
AGLVJN,Alice Smith,+1 608-659-7848,Los Angeles,UK,ST042,Phone,10,408.62,1970-01-01,5676 8888 7887 3257,Jul-23,4086.2,xxxx-xxxx-xxxx- 325,High,408.62
ZYLXIT,Alice Smith,+1 270-442-8437,Houston,USA,ST183,Laptop,9,314.29,1970-01-01,5676 8888 7887 6066,Jun-25,2828.61,xxxx-xxxx-xxxx- 606,High,314.29
KVZCLD,Robert Johnson,+1 753-733-7126,Houston,Australia,ST144,Laptop,2,965.78,1970-01-01,5676 8888 7887 4076,Oct-28,1931.56,xxxx-xxxx-xxxx- 407,Medium,965.78
LVZGLX,Robert Johnson,+1 873-866-8763,New York,UK,ST071,Tablet,4,438.86,1970-01-01,5676 8888 7887 8573,May-26,1755.44,xxxx-xxxx-xxxx- 857,Medium,438.86
CPLUKY,Alice Smith,+1 657-683-1932,Chicago,USA,ST113,Laptop,1,575.37,1970-01-01,5676 8888 7887 3871,Aug-24,575.37,xxxx-xxxx-xxxx- 387,Medium,575.37
NFCXII,Robert Johnson,+1 784-282-1381,Los Angeles,UK,ST125,Laptop,10,569.95,1970-01-01,5676 8888 7887 5522,Aug-24,5699.5,xxxx-xxxx-xxxx- 552,High,569.95
DRTYF,Test User1001,+1 657-683-1988,Mumbai,India,IN444,Phone,9,7790000,1970-01-01,4222 8888 6654 8876,Dec-24,7.011E7,xxxx-xxxx-xxxx- 887,High,7790000.0
ZYLXIT,Alice Smith,+1 270-442-8438,Houston,USA,ST183,Laptop,2,438.86,1970-01-01,5677 8888 7887 6066,Jun-25,877.72,xxxx-xxxx-xxxx- 606,Medium,438.86
KVZCLD,Robert Johnson,+1 753-733-7127,Houston,Australia,ST144,Laptop,5,575.37,1970-01-01,5677 8888 7887 4076,Oct-28,2876.85,xxxx-xxxx-xxxx- 407,High,575.37
LVZGLX,Robert Johnson,+1 873-866-8764,New York,UK,ST071,Tablet,5,569.95,1970-01-01,5677 8888 7887 8573,May-26,2849.75,xxxx-xxxx-xxxx- 857,High,569.95
CPLUKY,Alice Smith,+1 657-683-1933,Chicago,USA,ST113,Laptop,10,659.15,1970-01-01,5677 8888 7887 3871,Aug-24,6591.5,xxxx-xxxx-xxxx- 387,High,659.15
NFCXII,Robert Johnson,+1 784-282-1382,Los Angeles,UK,ST125,Laptop,9,724.695,1970-01-01,5677 8888 7887 5522,Aug-24,6522.255,xxxx-xxxx-xxxx- 552,High,724.695
DRTYF,Test User1002,+1 657-683-1989,Mumbai,India,IN445,Phone,4,790.24,1970-01-01,4223 8888 6654 8876,Dec-24,3160.96,xxxx-xxxx-xxxx- 887,High,790.24
ZYLXIT,Alice Smith,+1 270-442-8439,Houston,USA,ST183,Laptop,9,855.785,1970-01-01,5678 8888 7887 6066,Jun-25,7702.065,xxxx-xxxx-xxxx- 606,High,855.785
KVZCLD,Robert Johnson,+1 753-733-7128,Houston,Australia,ST144,Laptop,8,921.33,1970-01-01,5678 8888 7887 4076,Oct-28,7370.64,xxxx-xxxx-xxxx- 407,High,921.33
LVZGLX,Robert Johnson,+1 873-866-8765,New York,UK,ST071,Tablet,4,986.875,1970-01-01,5678 8888 7887 8573,May-26,3947.5,xxxx-xxxx-xxxx- 857,High,986.875
CPLUKY,Alice Smith,+1 657-683-1934,Chicago,USA,ST113,Laptop,7,1052.42,1970-01-01,5678 8888 7887 3871,Aug-24,7366.9400000000005,xxxx-xxxx-xxxx- 387,High,1052.42
NFCXII,Robert Johnson,+1 784-282-1383,Los Angeles,UK,ST125,Laptop,41,1117.965,1970-01-01,5678 8888 7887 5522,Aug-24,45836.564999999995,xxxx-xxxx-xxxx- 552,High,1117.965
DRTYF,Test User1003,+1 657-683-1990,Mumbai,India,IN446,Phone,44,1183.51,1970-01-01,4224 8888 6654 8876,Dec-24,52074.44,xxxx-xxxx-xxxx- 887,High,1183.51
ZYLXIT,Alice Smith,+1 270-442-8440,Houston,USA,ST183,Laptop,46,1249.055,1970-01-01,5679 8888 7887 6066,Jun-25,57456.530000000006,xxxx-xxxx-xxxx- 606,High,1249.055
KVZCLD,Robert Johnson,+1 753-733-7129,Houston,Australia,ST144,Laptop,49,1314.6,1970-01-01,5679 8888 7887 4076,Oct-28,64415.399999999994,xxxx-xxxx-xxxx- 407,High,1314.6
LVZGLX,Robert Johnson,+1 873-866-8766,New York,UK,ST071,Tablet,51,1380.145,1970-01-01,5679 8888 7887 8573,May-26,70387.395,xxxx-xxxx-xxxx- 857,High,1380.145
CPLUKY,Alice Smith,+1 657-683-1935,Chicago,USA,ST113,Laptop,53,1445.69,1970-01-01,5679 8888 7887 3871,Aug-24,76621.57,xxxx-xxxx-xxxx- 387,High,1445.69
NFCXII,Robert Johnson,+1 784-282-1384,Los Angeles,UK,ST125,Laptop,56,1511.235,1970-01-01,5679 8888 7887 5522,Aug-24,84629.15999999999,xxxx-xxxx-xxxx- 552,High,1511.235
DRTYF,Test User1004,+1 657-683-1991,Mumbai,India,IN447,Phone,58,1576.78,1970-01-01,4225 8888 6654 8876,Dec-24,91453.24,xxxx-xxxx-xxxx- 887,High,1576.7800000000002
ZYLXIT,Alice Smith,+1 270-442-8441,Houston,USA,ST183,Laptop,61,100,1970-01-01,5680 8888 7887 6066,Jun-25,6100.0,xxxx-xxxx-xxxx- 606,High,100.0
KVZCLD,Robert Johnson,+1 753-733-7130,Houston,Australia,ST144,Laptop,63,100,1970-01-01,5680 8888 7887 4076,Oct-28,6300.0,xxxx-xxxx-xxxx- 407,High,100.0
LVZGLX,Robert Johnson,+1 873-866-8767,New York,UK,ST071,Tablet,10,100,1970-01-01,5680 8888 7887 8573,May-26,1000.0,xxxx-xxxx-xxxx- 857,Medium,100.0
CPLUKY,Alice Smith,+1 657-683-1936,Chicago,USA,ST113,Laptop,9,100,1970-01-01,5680 8888 7887 3871,Aug-24,900.0,xxxx-xxxx-xxxx- 387,Medium,100.0
NFCXII,Robert Johnson,+1 784-282-1385,Los Angeles,UK,ST125,Laptop,2,100,1970-01-01,5680 8888 7887 5522,Aug-24,200.0,xxxx-xxxx-xxxx- 552,Low,100.0
DRTYF,Test User1005,+1 657-683-1992,Mumbai,India,IN448,Phone,5,1970.05,1970-01-01,4226 8888 6654 8876,Dec-24,9850.25,xxxx-xxxx-xxxx- 887,High,1970.05
ZYLXIT,Alice Smith,+1 270-442-8442,Houston,USA,ST183,Laptop,5,2035.595,1970-01-01,5681 8888 7887 6066,Jun-25,10177.975,xxxx-xxxx-xxxx- 606,High,2035.595
KVZCLD,Robert Johnson,+1 753-733-7131,Houston,Australia,ST144,Laptop,10,2101.14,1970-01-01,5681 8888 7887 4076,Oct-28,21011.399999999998,xxxx-xxxx-xxxx- 407,High,2101.14
LVZGLX,Robert Johnson,+1 873-866-8768,New York,UK,ST071,Tablet,9,2166.685,1970-01-01,5681 8888 7887 8573,May-26,19500.165,xxxx-xxxx-xxxx- 857,High,2166.685
CPLUKY,Alice Smith,+1 657-683-1937,Chicago,USA,ST113,Laptop,4,2232.23,1970-01-01,5681 8888 7887 3871,Aug-24,8928.92,xxxx-xxxx-xxxx- 387,High,2232.23
NFCXII,Robert Johnson,+1 784-282-1386,Los Angeles,UK,ST125,Laptop,9,2297.775,1970-01-01,5681 8888 7887 5522,Aug-24,20679.975000000002,xxxx-xxxx-xxxx- 552,High,2297.775
DRTYF,Test User1006,+1 657-683-1993,Mumbai,India,IN449,Phone,8,2363.32,1970-01-01,4227 8888 6654 8876,Dec-24,18906.56,xxxx-xxxx-xxxx- 887,High,2363.32
ZYLXIT,Alice Smith,+1 270-442-8443,Houston,USA,ST183,Laptop,4,100,1970-01-01,5682 8888 7887 6066,Jun-25,400.0,xxxx-xxxx-xxxx- 606,Low,100.0
KVZCLD,Robert Johnson,+1 753-733-7132,Houston,Australia,ST144,Laptop,7,100,1970-01-01,5682 8888 7887 4076,Oct-28,700.0,xxxx-xxxx-xxxx- 407,Medium,100.0
LVZGLX,Robert Johnson,+1 873-866-8769,New York,UK,ST071,Tablet,95,2559.955,1970-01-01,5682 8888 7887 8573,May-26,243195.725,xxxx-xxxx-xxxx- 857,High,2559.955
CPLUKY,Alice Smith,+1 657-683-1938,Chicago,USA,ST113,Laptop,98,2625.5,1970-01-01,5682 8888 7887 3871,Aug-24,257299.0,xxxx-xxxx-xxxx- 387,High,2625.5
NFCXII,Robert Johnson,+1 784-282-1387,Los Angeles,UK,ST125,Laptop,100,2691.045,1970-01-01,5682 8888 7887 5522,Aug-24,269104.5,xxxx-xxxx-xxxx- 552,High,2691.045
DRTYF,Test User1007,+1 657-683-1994,Mumbai,India,IN450,Phone,103,2756.59,1970-01-01,4228 8888 6654 8876,Dec-24,283928.77,xxxx-xxxx-xxxx- 887,High,2756.59
ZYLXIT,Alice Smith,+1 270-442-8444,Houston,USA,ST183,Laptop,105,2822.135,1970-01-01,5683 8888 7887 6066,Jun-25,296324.17500000005,xxxx-xxxx-xxxx- 606,High,2822.135
KVZCLD,Robert Johnson,+1 753-733-7133,Houston,Australia,ST144,Laptop,108,2887.68,1970-01-01,5683 8888 7887 4076,Oct-28,311869.44,xxxx-xxxx-xxxx- 407,High,2887.68
LVZGLX,Robert Johnson,+1 873-866-8770,New York,UK,ST071,Tablet,110,2953.225,1970-01-01,5683 8888 7887 8573,May-26,324854.75,xxxx-xxxx-xxxx- 857,High,2953.225
CPLUKY,Alice Smith,+1 657-683-1939,Chicago,USA,ST113,Laptop,78,3018.77,1970-01-01,5683 8888 7887 3871,Aug-24,235464.06,xxxx-xxxx-xxxx- 387,High,3018.77
NFCXII,Robert Johnson,+1 784-282-1388,Los Angeles,UK,ST125,Laptop,65,3084.315,1970-01-01,5683 8888 7887 5522,Aug-24,200480.475,xxxx-xxxx-xxxx- 552,High,3084.315
DRTYF,Test User1008,+1 657-683-1995,Mumbai,India,IN451,Phone,117,3149.86,1970-01-01,4229 8888 6654 8876,Dec-24,368533.62,xxxx-xxxx-xxxx- 887,High,3149.86
ZYLXIT,Alice Smith,+1 270-442-8445,Houston,USA,ST183,Laptop,120,3215.405,1970-01-01,5684 8888 7887 6066,Jun-25,385848.60000000003,xxxx-xxxx-xxxx- 606,High,3215.405
KVZCLD,Robert Johnson,+1 753-733-7134,Houston,Australia,ST144,Laptop,122,3280.95,1970-01-01,5684 8888 7887 4076,Oct-28,400275.89999999997,xxxx-xxxx-xxxx- 407,High,3280.95
LVZGLX,Robert Johnson,+1 873-866-8771,New York,UK,ST071,Tablet,45,3346.495,1970-01-01,5684 8888 7887 8573,May-26,150592.275,xxxx-xxxx-xxxx- 857,High,3346.495
CPLUKY,Alice Smith,+1 657-683-1940,Chicago,USA,ST113,Laptop,127,100,1970-01-01,5684 8888 7887 3871,Aug-24,12700.0,xxxx-xxxx-xxxx- 387,High,100.0
NFCXII,Robert Johnson,+1 784-282-1389,Los Angeles,UK,ST125,Laptop,130,100,1970-01-01,5684 8888 7887 5522,Aug-24,13000.0,xxxx-xxxx-xxxx- 552,High,100.0
DRTYF,Test User1009,+1 657-683-1996,Mumbai,India,IN452,Phone,132,3543.13,1970-01-01,4230 8888 6654 8876,Dec-24,467693.16000000003,xxxx-xxxx-xxxx- 887,High,3543.13
ZYLXIT,Alice Smith,+1 270-442-8446,Houston,USA,ST183,Laptop,23,3608.675,1970-01-01,5685 8888 7887 6066,Jun-25,82999.52500000001,xxxx-xxxx-xxxx- 606,High,3608.675
KVZCLD,Robert Johnson,+1 753-733-7135,Houston,Australia,ST144,Laptop,137,3674.22,1970-01-01,5685 8888 7887 4076,Oct-28,503368.13999999996,xxxx-xxxx-xxxx- 407,High,3674.22
LVZGLX,Robert Johnson,+1 873-866-8772,New York,UK,ST071,Tablet,139,3739.765,1970-01-01,5685 8888 7887 8573,May-26,519827.33499999996,xxxx-xxxx-xxxx- 857,High,3739.765
CPLUKY,Alice Smith,+1 657-683-1941,Chicago,USA,ST113,Laptop,142,3805.31,1970-01-01,5685 8888 7887 3871,Aug-24,540354.02,xxxx-xxxx-xxxx- 387,High,3805.31
NFCXII,Robert Johnson,+1 784-282-1390,Los Angeles,UK,ST125,Laptop,144,3870.855,1970-01-01,5685 8888 7887 5522,Aug-24,557403.12,xxxx-xxxx-xxxx- 552,High,3870.855
DRTYF,Test User1010,+1 657-683-1997,Mumbai,India,IN453,Phone,147,3936.4,1970-01-01,4231 8888 6654 8876,Dec-24,578650.8,xxxx-xxxx-xxxx- 887,High,3936.4
ZYLXIT,Alice Smith,+1 270-442-8447,Houston,USA,ST183,Laptop,149,4001.945,1970-01-01,5686 8888 7887 6066,Jun-25,596289.805,xxxx-xxxx-xxxx- 606,High,4001.945
KVZCLD,Robert Johnson,+1 753-733-7136,Houston,Australia,ST144,Laptop,152,4067.49,1970-01-01,5686 8888 7887 4076,Oct-28,618258.48,xxxx-xxxx-xxxx- 407,High,4067.49
LVZGLX,Robert Johnson,+1 873-866-8773,New York,UK,ST071,Tablet,154,4133.035,1970-01-01,5686 8888 7887 8573,May-26,636487.39,xxxx-xxxx-xxxx- 857,High,4133.035
CPLUKY,Alice Smith,+1 657-683-1942,Chicago,USA,ST113,Laptop,157,4198.58,1970-01-01,5686 8888 7887 3871,Aug-24,659177.0599999999,xxxx-xxxx-xxxx- 387,High,4198.58
NFCXII,Robert Johnson,+1 784-282-1391,Los Angeles,UK,ST125,Laptop,159,4264.125,1970-01-01,5686 8888 7887 5522,Aug-24,677995.875,xxxx-xxxx-xxxx- 552,High,4264.125
DRTYF,Test User1011,+1 657-683-1998,Mumbai,India,IN454,Phone,162,4329.67,1970-01-01,4232 8888 6654 8876,Dec-24,701406.54,xxxx-xxxx-xxxx- 887,High,4329.67
